B1;L11;B2;L12;Vtp
1.179244122;2.04E-05;1.179244122;-1.43E-07;-0.007022791
1.18223962;2.01E-05;1.18223962;-1.70E-07;-0.008436387
1.185235118;1.98E-05;1.185235118;-1.94E-07;-0.009830155
1.188230615;1.94E-05;1.188230615;-2.17E-07;-0.011205148
1.191226113;1.90E-05;1.191226113;-2.38E-07;-0.01256231
1.194221611;1.85E-05;1.194221611;-2.58E-07;-0.013902056
1.197217109;1.80E-05;1.197217109;-2.75E-07;-0.015223833
1.200212606;1.75E-05;1.200212606;-2.90E-07;-0.016525673
1.203208104;1.70E-05;1.203208104;-3.03E-07;-0.017803741
1.206203602;1.64E-05;1.206203602;-3.13E-07;-0.019051898
1.2091991;1.59E-05;1.2091991;-3.21E-07;-0.02026127
1.212194597;1.53E-05;1.212194597;-3.27E-07;-0.021419841
1.215190095;1.47E-05;1.215190095;-3.30E-07;-0.022512066
1.218185593;1.41E-05;1.218185593;-3.31E-07;-0.023518506
1.221181091;1.35E-05;1.221181091;-3.29E-07;-0.024415515
1.224176588;1.29E-05;1.224176588;-3.24E-07;-0.025174988
1.227172086;1.23E-05;1.227172086;-3.16E-07;-0.025764251
1.230167584;1.17E-05;1.230167584;-3.06E-07;-0.026146138
1.233163082;1.11E-05;1.233163082;-2.93E-07;-0.026279389
1.236158579;1.06E-05;1.236158579;-2.77E-07;-0.026119505
1.239154077;1.01E-05;1.239154077;-2.59E-07;-0.025620211
1.242149575;9.64E-06;1.242149575;-2.38E-07;-0.024735713
1.245145073;9.21E-06;1.245145073;-2.16E-07;-0.02342386
1.24814057;8.82E-06;1.24814057;-1.91E-07;-0.02165025
